key,talker,script,expression
0,연구원,안녕~,0
1,주인공,안녕하세요.,0
2,연구원,주변에 바이러스 환자가 있을 수도 있으니 빨리 설명해줄게,0
3,연구원,이 학교 2층 어딘가에 있는 '약물 X'를 구해다 주면 돼,0
4,주인공,약물 X...,0
5,연구원,응! 아마 갈색 유리병 안에 들어있을거야.,0
6,주인공,알겠어요. 바로 다녀올게요!,0
7,null,...,0
8,연구원,어머! 생각보다 일찍 나왔네?,0
9,주인공,필요한게 이거 맞죠?,0
10,연구원,맞아! 고마워!,0
11,연구원,이렇게 도움을 받았는데 뭔가 보답을 해야겠지?,0
12,주인공,보답이요?,0
13,연구원,이번에 내가 새로 만든 백신이야! 한번 맞아볼래?,0
14,연구원,효과는 아직 모르지만,1
15,연구원,어때?,0
16,선택지,맞는다/맞지 않는다,0
17,주인공,좋아요!/아... 아니요. 제가 주사를 좀 무서워해서...하하,0
18,연구원,그래. 조금만 기다려. 금방 놓아줄게./걱정하지마. 생각보다 아프진 않을거야.,0
19,null,(주사 투약중),0
20,주인공,어어...이상하다...? 눈앞이 흐려지네...,1
21,연구원,물건은 고마워. 몇 개 챙겨갈게.,0
